Date,Open,High,Low,Close,Volume,Dividends,Stock_Splits,Index,Ticker
1994-10-18 00:00:00-04:00,1.2106618881225586,1.220120202741073,1.1917453333557573,1.2106618881225586,418166,0.0,0.0,SandP500,O
1994-10-19 00:00:00-04:00,1.2201206694991378,1.3241618722229254,1.2201206694991378,1.3147037029266357,249950,0.0,0.0,SandP500,O
1994-10-20 00:00:00-04:00,1.3336192450261526,1.371452491152492,1.3241609334945679,1.3241609334945679,141590,0.0,0.0,SandP500,O
1994-10-21 00:00:00-04:00,1.3241614034746654,1.3336197183632577,1.2957866077493472,1.3052449226379395,68731,0.0,0.0,SandP500,O
1994-10-24 00:00:00-04:00,1.3052442265612332,1.333619007154499,1.276869297027588,1.276869297027588,75749,0.0,0.0,SandP500,O
1994-10-25 00:00:00-04:00,1.2674110912758674,1.3052443337613158,1.2484945445033389,1.2957860231399536,65222,0.0,0.0,SandP500,O
1994-10-26 00:00:00-04:00,1.288152813911438,1.3072365971451076,1.288152813911438,1.288152813911438,47678,0.072674,0.0,SandP500,O
1994-10-27 00:00:00-04:00,1.288152813911438,1.3072365971451076,1.288152813911438,1.288152813911438,34882,0.0,0.0,SandP500,O
1994-10-28 00:00:00-04:00,1.288151891478058,1.2976937762620395,1.2690681219100952,1.2690681219100952,41280,0.0,0.0,SandP500,O
1994-10-31 00:00:00-05:00,1.2786100066940767,1.288151891478058,1.2690681219100952,1.2690681219100952,33850,0.0,0.0,SandP500,O
1994-11-01 00:00:00-05:00,1.2690681219100952,1.2786100066940767,1.2595263122543323,1.2690681219100952,34056,0.0,0.0,SandP500,O
1994-11-02 00:00:00-05:00,1.2690671010524521,1.2786089781607965,1.23089974287539,1.2595252990722656,75542,0.0,0.0,SandP500,O
1994-11-03 00:00:00-05:00,1.2690678352942293,1.2786097179231997,1.2499841451644897,1.2499841451644897,56554,0.0,0.0,SandP500,O
1994-11-04 00:00:00-05:00,1.2499855736576988,1.2595274671912193,1.2213599681854248,1.2213599681854248,67699,0.0,0.0,SandP500,O
1994-11-07 00:00:00-05:00,1.2213599681854248,1.2404437552524659,1.2213599681854248,1.2213599681854248,73478,0.0,0.0,SandP500,O
1994-11-08 00:00:00-05:00,1.2213589811928827,1.2404427528381348,1.2213589811928827,1.2404427528381348,106296,0.0,0.0,SandP500,O
1994-11-09 00:00:00-05:00,1.2309017181396484,1.2499854278523708,1.2309017181396484,1.2309017181396484,61920,0.0,0.0,SandP500,O
1994-11-10 00:00:00-05:00,1.2213586092618274,1.2499841828843505,1.1927330356393042,1.2022749185562134,76574,0.0,0.0,SandP500,O
1994-11-11 00:00:00-05:00,1.2118169365632148,1.2118169365632148,1.1641075917883643,1.1927331686019897,80909,0.0,0.0,SandP500,O
1994-11-14 00:00:00-05:00,1.1831911527223953,1.2118168014731223,1.1641074620167813,1.2022749185562134,65842,0.0,0.0,SandP500,O
1994-11-15 00:00:00-05:00,1.1736503839492798,1.2022759829136287,1.1641084925850733,1.1736503839492798,70382,0.0,0.0,SandP500,O
1994-11-16 00:00:00-05:00,1.1736486627310743,1.1927323423439853,1.1641067853605387,1.1831904649734497,85862,0.0,0.0,SandP500,O
1994-11-17 00:00:00-05:00,1.1641075917883643,1.1927331686019897,1.1641075917883643,1.1927331686019897,99485,0.0,0.0,SandP500,O
1994-11-18 00:00:00-05:00,1.1831912534415638,1.1831912534415638,1.1641075611114502,1.1641075611114502,113933,0.0,0.0,SandP500,O
1994-11-21 00:00:00-05:00,1.1831904649734497,1.2022742197145209,1.1641067853605387,1.1831904649734497,136843,0.0,0.0,SandP500,O
1994-11-22 00:00:00-05:00,1.1736486627310743,1.1927323423439853,1.1736486627310743,1.1831904649734497,93086,0.0,0.0,SandP500,O
1994-11-23 00:00:00-05:00,1.1736494757689768,1.1927331686019897,1.1736494757689768,1.1927331686019897,48504,0.0,0.0,SandP500,O
1994-11-25 00:00:00-05:00,1.175390930521535,1.204293966293335,1.175390930521535,1.204293966293335,33850,0.072674,0.0,SandP500,O
1994-11-28 00:00:00-05:00,1.2042946801857097,1.2235634326934814,1.194660303931824,1.2235634326934814,68525,0.0,0.0,SandP500,O
1994-11-29 00:00:00-05:00,1.2235628326035886,1.2331971282759333,1.213928461074829,1.213928461074829,48091,0.0,0.0,SandP500,O
1994-11-30 00:00:00-05:00,1.2235642169487877,1.2428329059505596,1.2139298345196514,1.2331985235214233,72653,0.0,0.0,SandP500,O
1994-12-01 00:00:00-05:00,1.233197807006538,1.2428321838378906,1.2235635060316417,1.2428321838378906,68731,0.0,0.0,SandP500,O
1994-12-02 00:00:00-05:00,1.2331977330909152,1.242832109344801,1.2235634326934814,1.2235634326934814,31579,0.0,0.0,SandP500,O
1994-12-05 00:00:00-05:00,1.2139290564395957,1.2331977330909152,1.2139290564395957,1.2235634326934814,45614,0.0,0.0,SandP500,O
1994-12-06 00:00:00-05:00,1.2139290564395957,1.2235634326934814,1.2042946801857097,1.2235634326934814,43344,0.0,0.0,SandP500,O
1994-12-07 00:00:00-05:00,1.2042946801857097,1.2235634326934814,1.2042946801857097,1.2235634326934814,34056,0.0,0.0,SandP500,O
1994-12-08 00:00:00-05:00,1.213928461074829,1.2331971282759333,1.213928461074829,1.213928461074829,38597,0.0,0.0,SandP500,O
1994-12-09 00:00:00-05:00,1.2042940895460696,1.2235628326035886,1.2042940895460696,1.213928461074829,72653,0.0,0.0,SandP500,O
1994-12-12 00:00:00-05:00,1.2235628326035886,1.2331971282759333,1.213928461074829,1.213928461074829,31992,0.0,0.0,SandP500,O
1994-12-13 00:00:00-05:00,1.2235628326035886,1.2235628326035886,1.213928461074829,1.213928461074829,69350,0.0,0.0,SandP500,O
1994-12-14 00:00:00-05:00,1.2235642169487877,1.2331985235214233,1.2042954520905151,1.2331985235214233,112901,0.0,0.0,SandP500,O
1994-12-15 00:00:00-05:00,1.2331985235214233,1.252467288379696,1.2235642169487877,1.2331985235214233,44170,0.0,0.0,SandP500,O
1994-12-16 00:00:00-05:00,1.2524656924314175,1.300637391481546,1.24283132227883,1.271734356880188,83386,0.0,0.0,SandP500,O
1994-12-19 00:00:00-05:00,1.2813705120200194,1.3102736644517825,1.2717362037326125,1.2910048961639404,79051,0.0,0.0,SandP500,O
1994-12-20 00:00:00-05:00,1.2717362037326125,1.2910048961639404,1.2524675113012844,1.2910048961639404,57586,0.0,0.0,SandP500,O
1994-12-21 00:00:00-05:00,1.2813705120200194,1.3006392803078615,1.2813705120200194,1.2910048961639404,55109,0.0,0.0,SandP500,O
1994-12-22 00:00:00-05:00,1.2910048961639404,1.3006392803078615,1.2813705120200194,1.2910048961639404,59443,0.0,0.0,SandP500,O
1994-12-23 00:00:00-05:00,1.291003703744088,1.3006380789893355,1.2813693284988403,1.2813693284988403,45408,0.0,0.0,SandP500,O
1994-12-27 00:00:00-05:00,1.2833134902252248,1.3124796867753927,1.2638693847074716,1.27359139919281,47059,0.072674,0.0,SandP500,O
1994-12-28 00:00:00-05:00,1.283314084262998,1.2930361032485962,1.2735919887302884,1.2930361032485962,42106,0.0,0.0,SandP500,O
1994-12-29 00:00:00-05:00,1.2833129167556763,1.2833129167556763,1.2735908300677365,1.2833129167556763,65222,0.0,0.0,SandP500,O
1994-12-30 00:00:00-05:00,1.283314153930494,1.331924557685852,1.273592057869999,1.331924557685852,106296,0.0,0.0,SandP500,O
1995-01-03 00:00:00-05:00,1.3124810457229614,1.3222031468216744,1.3027589446242485,1.3124810457229614,47266,0.0,0.0,SandP500,O
1995-01-04 00:00:00-05:00,1.3027570135845141,1.3124791002724538,1.2833129167556763,1.2833129167556763,21878,0.0,0.0,SandP500,O
1995-01-05 00:00:00-05:00,1.283314084262998,1.302758198781306,1.2735919887302884,1.2930361032485962,16099,0.0,0.0,SandP500,O
1995-01-06 00:00:00-05:00,1.283314084262998,1.2930361032485962,1.2735919887302884,1.2930361032485962,16512,0.0,0.0,SandP500,O
1995-01-09 00:00:00-05:00,1.2930358065431578,1.3319241797505068,1.2930358065431578,1.3222020864486694,49536,0.0,0.0,SandP500,O
1995-01-10 00:00:00-05:00,1.341646273052344,1.341646273052344,1.3124799931468323,1.3222020864486694,20640,0.0,0.0,SandP500,O
1995-01-11 00:00:00-05:00,1.3124799931468323,1.341646273052344,1.3124799931468323,1.3222020864486694,16718,0.0,0.0,SandP500,O
1995-01-12 00:00:00-05:00,1.322202713883076,1.3416469097137451,1.322202713883076,1.3416469097137451,27038,0.0,0.0,SandP500,O
1995-01-13 00:00:00-05:00,1.341646925294818,1.361090968257038,1.341646925294818,1.351369023323059,23736,0.0,0.0,SandP500,O
1995-01-16 00:00:00-05:00,1.361090968257038,1.361090968257038,1.341646925294818,1.351369023323059,21053,0.0,0.0,SandP500,O
1995-01-17 00:00:00-05:00,1.351369023323059,1.361090968257038,1.341646925294818,1.351369023323059,17338,0.0,0.0,SandP500,O
1995-01-18 00:00:00-05:00,1.3610901832580566,1.3708122756791508,1.3610901832580566,1.3610901832580566,31579,0.0,0.0,SandP500,O
1995-01-19 00:00:00-05:00,1.3610901832580566,1.380534368100245,1.3513682439311363,1.3610901832580566,21878,0.0,0.0,SandP500,O
1995-01-20 00:00:00-05:00,1.370813066285279,1.370813066285279,1.351369023323059,1.351369023323059,20227,0.0,0.0,SandP500,O
1995-01-23 00:00:00-05:00,1.361090695158772,1.3999790794689133,1.3513687521754683,1.3805348873138428,43757,0.0,0.0,SandP500,O
